STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TSUN,TMAX,TMIN,AWND,WDF5,WT09,WT14,WT07,WT01,WT15,WT17,WT06,WT21,WT05,WT02,WT11,WT22,WT04,WT13,WT16,WT08,WT18,WT03,WT10,WT19
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090918,0,-9999,272,156,31,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090919,0,-9999,261,150,43,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090920,338,-9999,222,167,38,140,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090921,15,-9999,256,194,41,170,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090922,58,-9999,283,189,28,210,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090923,28,-9999,228,194,10,220,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090924,229,-9999,211,178,28,30,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090925,114,-9999,189,167,32,350,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090926,196,-9999,222,167,16,340,1,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,1,-9999,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090927,5,-9999,200,139,37,220,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
