STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TSUN,TMAX,TMIN,AWND,WDF5,WT09,WT14,WT07,WT01,WT15,WT17,WT06,WT05,WT02,WT11,WT22,WT04,WT13,WT16,WT08,WT18,WT03,WT10,WT19
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090907,0,-9999,222,161,38,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090908,0,-9999,239,183,26,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090909,0,-9999,244,183,55,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090910,0,-9999,217,161,89,80,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090911,117,-9999,206,144,109,70,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090912,23,-9999,200,183,33,50,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090913,0,-9999,272,194,40,320,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090914,0,-9999,261,183,39,260,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090915,0,-9999,272,200,34,320,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090916,0,-9999,217,172,60,100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
